match_id,tournament_id,team_id_home,team_name_home,team_code_home,goals_for_home,goals_against_home,goal_differential_home,win_home,draw_home,lose_home,extra_time_home,penalty_shootout_home,penalties_for_home,penalties_against_home,team_id_away,team_name_away,team_code_away,goals_for_away,goals_against_away,goal_differential_away,win_away,draw_away,lose_away,extra_time_away,penalty_shootout_away,penalties_for_away,penalties_against_away,year,stage_name,group_name,group_stage,knockout_stage,match_date,result_home
M-2018-24,WC-2018,T-09,Brazil,BRA,2,0,2,1,0,0,0,0,0,0,T-17,Costa Rica,CRI,0,2,-2,0,0,1,0,0,0,0,2018,group stage,Group E,1,0,2018-06-22,W
M-2018-25,WC-2018,T-50,Nigeria,NGA,2,0,2,1,0,0,0,0,0,0,T-37,Iceland,ISL,0,2,-2,0,0,1,0,0,0,0,2018,group stage,Group D,1,0,2018-06-22,W
M-2018-26,WC-2018,T-66,Serbia,SRB,1,2,-1,0,0,1,0,0,0,0,T-75,Switzerland,CHE,2,1,1,1,0,0,0,0,0,0,2018,group stage,Group E,1,0,2018-06-22,L
M-2018-27,WC-2018,T-06,Belgium,BEL,5,2,3,1,0,0,0,0,0,0,T-79,Tunisia,TUN,2,5,-3,0,0,1,0,0,0,0,2018,group stage,Group G,1,0,2018-06-23,W
M-2018-28,WC-2018,T-71,South Korea,KOR,1,2,-1,0,0,1,0,0,0,0,T-46,Mexico,MEX,2,1,1,1,0,0,0,0,0,0,2018,group stage,Group F,1,0,2018-06-23,L
M-2018-29,WC-2018,T-31,Germany,DEU,2,1,1,1,0,0,0,0,0,0,T-74,Sweden,SWE,1,2,-1,0,0,1,0,0,0,0,2018,group stage,Group F,1,0,2018-06-23,W
M-2018-30,WC-2018,T-28,England,ENG,6,1,5,1,0,0,0,0,0,0,T-54,Panama,PAN,1,6,-5,0,0,1,0,0,0,0,2018,group stage,Group G,1,0,2018-06-24,W
M-2018-31,WC-2018,T-44,Japan,JPN,2,2,0,0,1,0,0,0,0,0,T-65,Senegal,SEN,2,2,0,0,1,0,0,0,0,0,2018,group stage,Group H,1,0,2018-06-24,D
M-2018-32,WC-2018,T-57,Poland,POL,0,3,-3,0,0,1,0,0,0,0,T-16,Colombia,COL,3,0,3,1,0,0,0,0,0,0,2018,group stage,Group H,1,0,2018-06-24,L
M-2018-33,WC-2018,T-63,Saudi Arabia,SAU,2,1,1,1,0,0,0,0,0,0,T-26,Egypt,EGY,1,2,-1,0,0,1,0,0,0,0,2018,group stage,Group A,1,0,2018-06-25,W
M-2018-34,WC-2018,T-84,Uruguay,URY,3,0,3,1,0,0,0,0,0,0,T-62,Russia,RUS,0,3,-3,0,0,1,0,0,0,0,2018,group stage,Group A,1,0,2018-06-25,W
M-2018-35,WC-2018,T-73,Spain,ESP,2,2,0,0,1,0,0,0,0,0,T-47,Morocco,MAR,2,2,0,0,1,0,0,0,0,0,2018,group stage,Group B,1,0,2018-06-25,D
M-2018-36,WC-2018,T-38,Iran,IRN,1,1,0,0,1,0,0,0,0,0,T-58,Portugal,PRT,1,1,0,0,1,0,0,0,0,0,2018,group stage,Group B,1,0,2018-06-25,D
M-2018-37,WC-2018,T-04,Australia,AUS,0,2,-2,0,0,1,0,0,0,0,T-56,Peru,PER,2,0,2,1,0,0,0,0,0,0,2018,group stage,Group C,1,0,2018-06-26,L
M-2018-38,WC-2018,T-22,Denmark,DNK,0,0,0,0,1,0,0,0,0,0,T-30,France,FRA,0,0,0,0,1,0,0,0,0,0,2018,group stage,Group C,1,0,2018-06-26,D
M-2018-39,WC-2018,T-37,Iceland,ISL,1,2,-1,0,0,1,0,0,0,0,T-18,Croatia,HRV,2,1,1,1,0,0,0,0,0,0,2018,group stage,Group D,1,0,2018-06-26,L
M-2018-40,WC-2018,T-50,Nigeria,NGA,1,2,-1,0,0,1,0,0,0,0,T-03,Argentina,ARG,2,1,1,1,0,0,0,0,0,0,2018,group stage,Group D,1,0,2018-06-26,L
M-2018-41,WC-2018,T-71,South Korea,KOR,2,0,2,1,0,0,0,0,0,0,T-31,Germany,DEU,0,2,-2,0,0,1,0,0,0,0,2018,group stage,Group F,1,0,2018-06-27,W
M-2018-42,WC-2018,T-46,Mexico,MEX,0,3,-3,0,0,1,0,0,0,0,T-74,Sweden,SWE,3,0,3,1,0,0,0,0,0,0,2018,group stage,Group F,1,0,2018-06-27,L
M-2018-43,WC-2018,T-66,Serbia,SRB,0,2,-2,0,0,1,0,0,0,0,T-09,Brazil,BRA,2,0,2,1,0,0,0,0,0,0,2018,group stage,Group E,1,0,2018-06-27,L
M-2018-44,WC-2018,T-75,Switzerland,CHE,2,2,0,0,1,0,0,0,0,0,T-17,Costa Rica,CRI,2,2,0,0,1,0,0,0,0,0,2018,group stage,Group E,1,0,2018-06-27,D
M-2018-45,WC-2018,T-44,Japan,JPN,0,1,-1,0,0,1,0,0,0,0,T-57,Poland,POL,1,0,1,1,0,0,0,0,0,0,2018,group stage,Group H,1,0,2018-06-28,L
M-2018-46,WC-2018,T-65,Senegal,SEN,0,1,-1,0,0,1,0,0,0,0,T-16,Colombia,COL,1,0,1,1,0,0,0,0,0,0,2018,group stage,Group H,1,0,2018-06-28,L
M-2018-47,WC-2018,T-28,England,ENG,0,1,-1,0,0,1,0,0,0,0,T-06,Belgium,BEL,1,0,1,1,0,0,0,0,0,0,2018,group stage,Group G,1,0,2018-06-28,L
M-2018-48,WC-2018,T-54,Panama,PAN,1,2,-1,0,0,1,0,0,0,0,T-79,Tunisia,TUN,2,1,1,1,0,0,0,0,0,0,2018,group stage,Group G,1,0,2018-06-28,L
M-2018-49,WC-2018,T-30,France,FRA,4,3,1,1,0,0,0,0,0,0,T-03,Argentina,ARG,3,4,-1,0,0,1,0,0,0,0,2018,round of 16,not applicable,0,1,2018-06-30,W
M-2018-50,WC-2018,T-84,Uruguay,URY,2,1,1,1,0,0,0,0,0,0,T-58,Portugal,PRT,1,2,-1,0,0,1,0,0,0,0,2018,round of 16,not applicable,0,1,2018-06-30,W
M-2018-51,WC-2018,T-73,Spain,ESP,1,1,0,0,0,1,1,1,3,4,T-62,Russia,RUS,1,1,0,1,0,0,1,1,4,3,2018,round of 16,not applicable,0,1,2018-07-01,L
M-2018-52,WC-2018,T-18,Croatia,HRV,1,1,0,1,0,0,1,1,3,2,T-22,Denmark,DNK,1,1,0,0,0,1,1,1,2,3,2018,round of 16,not applicable,0,1,2018-07-01,W
M-2018-53,WC-2018,T-09,Brazil,BRA,2,0,2,1,0,0,0,0,0,0,T-46,Mexico,MEX,0,2,-2,0,0,1,0,0,0,0,2018,round of 16,not applicable,0,1,2018-07-02,W
M-2018-54,WC-2018,T-06,Belgium,BEL,3,2,1,1,0,0,0,0,0,0,T-44,Japan,JPN,2,3,-1,0,0,1,0,0,0,0,2018,round of 16,not applicable,0,1,2018-07-02,W
M-2018-55,WC-2018,T-74,Sweden,SWE,1,0,1,1,0,0,0,0,0,0,T-75,Switzerland,CHE,0,1,-1,0,0,1,0,0,0,0,2018,round of 16,not applicable,0,1,2018-07-03,W
M-2018-56,WC-2018,T-16,Colombia,COL,1,1,0,0,0,1,1,1,3,4,T-28,England,ENG,1,1,0,1,0,0,1,1,4,3,2018,round of 16,not applicable,0,1,2018-07-03,L
M-2018-57,WC-2018,T-84,Uruguay,URY,0,2,-2,0,0,1,0,0,0,0,T-30,France,FRA,2,0,2,1,0,0,0,0,0,0,2018,quarter-finals,not applicable,0,1,2018-07-06,L
M-2018-58,WC-2018,T-09,Brazil,BRA,1,2,-1,0,0,1,0,0,0,0,T-06,Belgium,BEL,2,1,1,1,0,0,0,0,0,0,2018,quarter-finals,not applicable,0,1,2018-07-06,L
M-2018-59,WC-2018,T-74,Sweden,SWE,0,2,-2,0,0,1,0,0,0,0,T-28,England,ENG,2,0,2,1,0,0,0,0,0,0,2018,quarter-finals,not applicable,0,1,2018-07-07,L
